planet_name,number_of_stars,orbital_period,orbit_semi_major_axis,planet_radius,Inclination,eccentricity,insolation_flux,Radial_Velocity_Amplitude,planet_temperature,star_temperature,star_radius,star_mass,Predicted Temperature
HAT-P-11 b,1,4.88780308,0.053,4.82,89.82,0.0,96.67,,800.0,4778.0,0.76,0.83,831.8101
HAT-P-11 b,1,4.88780244,0.05254,4.36,,0.218,,10.42,,4780.0,0.68,0.81,791.8513
HAT-P-11 b,1,4.88781501,0.05259,4.45,89.36,,,11.8,838.0,4780.0,0.69,0.81,795.9341
HAT-P-11 b,1,4.8878162,0.053,4.73,88.5,0.198,,11.6,878.0,4780.0,0.75,0.81,821.1808
HAT-P-11 b,1,4.88780271,0.053,4.84,89.95,0.0,97.1,,801.0,4777.0,0.77,0.83,835.93915
HAT-P-11 b,1,4.88780244,0.0532,4.901,89.027,0.2577,,,847.0,4780.0,0.76,0.86,843.26544
HAT-P-11 b,1,4.88780271,0.053,4.84,89.95,0.0,97.1,,801.0,4777.0,0.77,0.83,835.93915
HAT-P-12 b,1,3.21305929,0.03838,10.749,89.0,0.035,,35.4,,4650.0,0.7,0.73,896.69385
HAT-P-12 b,1,3.21305992,0.03767,10.301,89.1,,,,955.0,4665.0,0.68,0.69,886.15375
HAT-P-12 b,1,3.2130598,0.0384,10.749,89.0,0.0,,35.8,963.0,4650.0,0.7,0.73,896.47473
HAT-P-13 b,1,2.9162383,0.0427,14.359,83.4,0.013,,105.7,,5653.0,1.56,1.22,1630.256
HAT-P-13 b,1,2.91626,0.0427,14.359,83.4,0.021,,106.1,1653.0,5653.0,1.56,1.22,1630.2559
HAT-P-14 b,2,4.627669,0.0606,12.89,83.5,0.107,,219.0,1570.0,6600.0,1.47,1.39,1571.8376
HAT-P-14 b,2,4.627682,0.06062,12.89,83.5,0.1074,,225.8,,6600.0,1.47,1.39,1571.5483
HAT-P-14 b,2,4.627649,0.0596,13.451,83.2,0.066,,229.3,1612.0,6583.0,1.53,1.32,1558.5945
HAT-P-14 b,2,4.6276691,0.06108,13.664,83.01,,,218.9,1624.0,6600.0,1.59,1.42,1624.1902
HAT-P-15 b,1,10.863502,0.0964,12.016,89.1,0.19,,180.6,904.0,5568.0,1.08,1.01,844.7682
HAT-P-15 b,1,10.863502,0.0965,12.016,89.1,0.2,,181.2,,5568.0,1.08,1.01,844.32794
HAT-P-16 b,3,2.7759712,0.04134,14.448,86.6,0.0462,,534.6,,6158.0,1.24,1.22,1942.8434
HAT-P-16 b,3,2.77596,0.0413,14.448,86.6,0.036,,531.1,1626.0,6158.0,1.24,1.22,1943.8542
HAT-P-17 b,1,10.338523,0.0882,11.321,89.2,0.3417,,59.09,,5246.0,0.84,0.86,733.27423
HAT-P-17 b,1,10.338523,0.0882,11.321,89.2,0.342,,58.8,792.0,5246.0,0.84,0.86,733.27423
HAT-P-18 b,1,5.507978,0.0559,10.615,88.79,0.009,,26.9,841.0,4870.0,0.72,0.77,787.66064
HAT-P-18 b,1,5.508023,0.05596,11.153,88.8,0.087,,27.5,,4803.0,0.75,0.77,789.4824
HAT-P-18 b,1,5.508023,0.0559,11.153,88.8,0.084,,27.1,852.0,4803.0,0.75,0.77,789.9323
HAT-P-19 b,1,4.00878322,0.04599,11.299,89.52,,154.0,40.9,981.0,4962.0,0.77,0.81,922.463
HAT-P-19 b,1,4.008778,0.0466,12.689,88.2,0.067,,42.0,1010.0,4990.0,0.82,0.84,954.9429
HAT-P-19 b,1,4.008778,0.04664,12.689,88.2,0.024,,40.8,,4990.0,0.82,0.84,954.5491
HAT-P-2 b,1,5.6334729,0.06878,12.969,86.72,0.5171,,983.9,1540.0,6290.0,1.64,1.36,1442.8114
HAT-P-2 b,1,5.6334754,0.0688,12.969,86.72,0.50833,,938.1,,6290.0,1.64,1.36,1442.5598
HAT-P-2 b,1,5.63332,0.0679,11.243,90.0,,,968.6,1398.0,6290.0,1.51,1.31,1382.322
HAT-P-2 b,1,5.6334729,0.0674,13.339,85.9,,,983.9,1516.0,6290.0,1.68,1.28,1433.6709
