,pl_name,pl_radj,pl_bmassj,pl_bmassprov,pl_orbper,pl_orbeccen,pl_orbincl,pl_eqt,st_mass,st_met,st_age,sy_snum,sy_pnum
3852,Kepler-478 b,0.242,,,13.2217576,,,693.7947702,0.85,-0.03,4.9,1,1
3853,Kepler-479 b,0.189,,,12.49341307,,,705.8225524,0.86,-0.02,4.27,1,1
3854,Kepler-48 b,0.168,0.0124,Mass,4.778,,,1019.627664,0.88,0.17,3.14,1,4
3855,Kepler-48 c,0.242,0.04597,Mass,9.67395,,,805.9764994,0.88,0.17,3.14,1,4
3856,Kepler-48 d,0.182,0.025,Mass,42.8961,,,491.0797684,0.88,0.17,3.14,1,4
3857,Kepler-48 e,,2.067,Mass,982,,,173.577337,0.88,0.17,3.14,1,4
3858,Kepler-480 b,0.248,,,4.9195838,,,1426.199919,1.25,0.11,2.34,1,1
3859,Kepler-481 b,0.223,,,10.06082567,,,1010.772098,1.01,0.03,6.17,1,1
3860,Kepler-482 b,0.211,,,56.35418576,,,379.8446113,0.75,-0.13,6.03,1,1
3861,Kepler-483 b,0.286,,,30.229104,,,775.9991585,1.28,0.09,2.63,1,1
3862,Kepler-484 b,0.203,,,10.04556931,,,858.8407112,0.96,-0.1,1.48,1,1
3863,Kepler-485 b,1.286,,,3.2432598,,,1398.930676,1.07,0.04,3.72,1,1
3864,Kepler-487 b,1.019,,,15.3587684,,,739.6457819,0.91,0,5.62,1,3
3865,Kepler-487 c,0.239,,,38.6519976,,,543.8904931,0.91,0,5.62,1,3
3866,Kepler-487 d,,,,2.41839004,,,1380.179827,0.87,0.02,3.4,1,3
3867,Kepler-488 b,1.409,,,3.12082923,,,1444.693229,1.07,0.03,3.47,1,1
3868,Kepler-489 b,0.689,,,17.27629612,,,604.4559332,0.82,0,3.31,1,1
3869,Kepler-49 b,0.199142857,0.026085,Mass,7.2037945,,,579.7734078,0.55,-0.055714286,8.39,1,4
3870,Kepler-49 c,0.241571429,0.02228,Mass,10.9129343,,,504.8141854,0.55,-0.055714286,8.39,1,4
3871,Kepler-49 d,0.143,,,2.576549,,,821.796992,0.5775,-0.055714286,8.39,1,4
3872,Kepler-49 e,0.139,,,18.596108,,,427.6583189,0.580909091,-0.056666667,8.39,1,4
3873,Kepler-490 b,1.039,,,3.26869515,,,1609.68465,1.08,-0.02,3.47,1,1
3874,Kepler-491 b,0.796,,,4.22538451,,,1207.685567,1.04,0.37,4.47,1,1
3875,Kepler-493 b,1.35,,,3.00387658,,,1622.361202,1.36,0.11,2,1,1
3876,Kepler-494 b,0.637,,,8.02511821,,,927.3957487,1.1,0.02,4.79,1,1
3877,Kepler-495 b,0.467,,,3.41303622,,,1151.571494,0.86,-0.07,4.37,1,2
3878,Kepler-495 c,,,,5.89660978,,,961.7385278,0.89,0.18,0.6,1,2
3879,Kepler-496 b,0.207,,,8.30864937,,,783.7562496,0.86,-0.03,4.57,1,1
3880,Kepler-497 b,0.539,,,3.57320367,,,1345.460355,1.09,0.24,3.55,1,1
3881,Kepler-498 b,0.27,,,9.61375356,,,1022.311079,0.98,-0.04,3.89,1,1
3882,Kepler-499 b,0.194,,,5.63252845,,,941.8070676,0.87,0,4.57,1,1
3883,Kepler-5 b,1.426,2.111,Mass,3.5484657,,89.14,1750,1.37,0.04,2.856,1,1
3884,Kepler-50 b,0.153,,,7.81254,,,1327.902673,1.24,0.03,3.8,1,2
3885,Kepler-50 c,0.194,,,9.37647,,,1249.541084,1.24,0.03,3.8,1,2
3886,Kepler-500 b,0.23,,,8.5083244,,,1006.921252,1.02,0.03,4.37,1,1
3887,Kepler-501 b,0.384,,,5.64067757,,,1214.970045,1.03,-0.03,3.31,1,2
3888,Kepler-501 c,,,,3.62276006,,,1412.283702,1.03,0.14,0.3,1,2
3889,Kepler-502 b,0.426,,,4.28686431,,,1388.933851,1.15,0.05,3.09,1,1
3890,Kepler-504 b,0.142,,,9.54927542,,,,0.33,-0.31,4.17,2,1
3891,Kepler-505 b,0.232,,,27.52197994,,,365.3946512,0.55,-0.19,3.16,1,1
3892,Kepler-506 b,0.244,,,6.8834055,,,1189.278666,1.19,0.09,1.74,1,1
3893,Kepler-507 b,0.116,,,3.56809693,,,1500.017464,1.16,0.06,3.8,1,1
3894,Kepler-508 b,0.146,,,25.30889748,,,831.895937,1.16,0.18,3.55,1,1
3895,Kepler-509 b,0.222,,,41.74600392,,,641.6325845,1.1,0.01,4.27,1,1
3896,Kepler-51 b,0.633,0.007,Mass,45.154,0.04,89.78,543,1.04,-0.043333333,0.3,1,3
3897,Kepler-51 c,0.803,0.013,Mass,85.312,0.014,,439,1.04,-0.043333333,0.3,1,3
3898,Kepler-51 d,0.865,0.024,Mass,130.194,0.008,89.91,381,1.04,-0.043333333,0.3,1,3
3899,Kepler-510 b,0.22,,,19.55659418,,,912.9224887,0.91,-0.35,10.47,1,1
3900,Kepler-511 b,0.567,,,296.637865,,,361.9409662,1,0.01,7.94,1,2
3901,Kepler-511 c,,,,26.62949944,,,814.1837007,0.96,-0.2,,1,2
3902,Kepler-512 b,0.24,,,34.43587975,,,661.1546221,1.17,0.22,3.72,1,1
3903,Kepler-513 b,0.196,,,28.86235584,,,683.8512112,1.02,-0.01,5.5,1,1
3904,Kepler-514 b,0.153,,,5.65179605,,,,1.28,0.36,2.69,2,1
3905,Kepler-515 b,0.13,,,19.96371318,,,,0.9,0.08,3.39,2,1
3906,Kepler-516 b,0.512,,,24.85462415,,,1034.148122,1.62,0.01,1.32,1,1
3907,Kepler-517 b,0.238,,,60.92832271,,,,0.95,-0.06,6.31,2,1
3908,Kepler-518 b,0.188,,,8.51203588,,,1147.553666,0.96,-0.23,1.35,1,1
3909,Kepler-519 b,0.187,,,24.3078946,,,,0.89,0.01,1.91,2,1
3910,Kepler-52 b,0.2112,0.25,Mass,7.8773565,,,599.7133595,0.54,-0.053333333,8.675,1,3
3911,Kepler-52 c,0.180666667,0.198,Mass,16.3850021,,,475.3726357,0.54,-0.053333333,8.675,1,3
3912,Kepler-52 d,0.174,,,36.445171,,,360.7152603,0.615454545,-0.046,8.675,1,3
3913,Kepler-520 b,0.148,,,19.67416124,,,777.7462377,1.1,-0.03,2.04,1,2
3914,Kepler-520 c,0.095,,,5.21104261,,,1211.049198,1.1,-0.03,2.04,1,2
3915,Kepler-521 b,0.284,,,22.20813214,,,983.031866,1.34,0.25,1.78,1,1
3916,Kepler-522 b,0.616,,,38.58422849,,,767.8778652,1.54,0.41,1.7,1,1
3917,Kepler-523 b,0.175,,,5.83598311,,,970.6960872,0.93,-0.03,2.45,1,1
3918,Kepler-524 b,0.17,,,7.97419807,,,1182.684254,1.09,0.02,3.02,1,2
3919,Kepler-524 c,0.086,,,1.88897906,,,1895.353349,1.09,0.02,3.02,1,2
3920,Kepler-525 b,0.235,,,18.68404933,,,948.3963937,0.95,0.11,10.47,1,1
3921,Kepler-526 b,0.178,,,5.45849832,,,1274.33568,1.15,0.34,2.14,1,1
3922,Kepler-527 b,0.253,,,13.28535633,,,1009.023213,1.28,0.03,2.4,1,1
3923,Kepler-528 b,0.186,,,19.78297415,,,772.4558956,1.01,0.02,5.5,1,1
3924,Kepler-529 b,0.166,,,1.98035766,,,1687.658525,1.07,-0.1,3.98,1,3
3925,Kepler-529 c,0.178,,,12.8345022,,,905.1893708,1.07,-0.1,3.98,1,3
3926,Kepler-529 d,,,,35.86619949,,,652.4586921,1,-0.16,0.2,1,3
3927,Kepler-53 b,0.268,0.324,Mass,18.6489525,,,763.6264237,0.98,-0.094,2.095,1,3
3928,Kepler-53 c,0.326333333,0.112,Mass,38.5583038,,,599.7728286,0.98,-0.094,2.095,1,3
3929,Kepler-53 d,0.189,,,9.751962,,,951.5472656,1.01625,-0.094,2.095,1,3
3930,Kepler-530 b,0.269,,,39.30941904,,,,0.97,-0.08,1.78,2,1
3931,Kepler-531 b,0.248,,,29.88485741,,,487.1686069,0.78,-0.03,7.76,1,1
3932,Kepler-532 b,0.229,,,12.92491623,,,677.5080486,0.87,0,2,1,1
3933,Kepler-533 b,0.302,,,28.51120525,,,565.7844719,0.78,0.01,3.24,1,1
3934,Kepler-534 b,0.2,,,15.95994513,,,814.6272633,1.05,0.01,1.58,1,2
3935,Kepler-534 c,,,,7.37868977,,,1043.92849,1.07,0.07,1.7,1,2
3936,Kepler-535 b,0.211,,,4.90332155,,,1346.402617,1.18,0.13,3.24,1,1
3937,Kepler-536 b,0.277,,,1.8270823,,,1768.84,0.92,0,4.79,1,1
3938,Kepler-537 b,0.126,,,3.24755522,,,1293.912177,1.07,0.23,1.45,1,1
3939,Kepler-538 b,0.198,0.03335,Mass,81.73778,0.041,89.73,,0.89,-0.03,5.3,2,1
3940,Kepler-539 b,0.747,0.97,Mass,125.63243,,89.845,388,1.05,-0.01,1.455,1,2
3941,Kepler-539 c,,2.4,Mass,,0.5,,253,1.05,-0.01,,1,2
3942,Kepler-54 b,0.1745,0.068,Mass,8.0109434,,,501.3479405,0.51,-0.181428571,8.985,1,3
3943,Kepler-54 c,0.1106,0.062,Mass,12.0717249,,,437.9101374,0.51,-0.191666667,8.985,1,3
3944,Kepler-54 d,0.136,,,20.995694,,,372.1754444,0.491818182,-0.191666667,8.985,1,3
3945,Kepler-540 b,0.242,,,172.7049784,,,396.9398052,1.02,-0.1,4.9,1,1
3946,Kepler-541 b,0.3,,,5.08005848,,,1546.768793,1.41,0.07,3.09,1,1
3947,Kepler-542 b,0.14,,,13.14497566,,,802.7514765,0.93,0.02,4.57,1,1
3948,Kepler-543 b,0.223,,,13.89961966,,,578.0621642,0.7,-0.19,5.75,1,1
3949,Kepler-544 b,0.189,,,21.41616926,,,866.7133716,1.16,0.02,2.63,1,1
3950,Kepler-545 b,0.24,,,13.24934059,,,863.8364345,1.04,0.03,4.47,1,1
3951,Kepler-546 b,0.624,,,4.14702026,,,1373.572559,1.11,0.14,3.31,1,1
3952,Kepler-547 b,0.357,,,6.01038429,,,826.4682088,0.78,0.01,2.88,1,1
3953,Kepler-548 b,1.07,,,4.45419434,,,1085.624071,0.93,0,4.37,1,1
3954,Kepler-549 b,0.229,0.03461,Mass,42.9495649,,,501.3315124,0.88,-0.03,4.57,1,2
3955,Kepler-549 c,0.261,,,117.040498,,,360.0285088,0.88,-0.03,4.57,1,2
3956,Kepler-55 b,0.239,0.135,Mass,27.9481449,,,446.8973444,0.62,-0.126,8.17,1,5
3957,Kepler-55 c,0.977,0.22,Mass,42.1516418,,,389.6912051,0.62,-0.126,8.17,1,5
3958,Kepler-55 d,0.142,,,2.211099,,,1033.108968,0.67375,-0.126,8.17,1,5
3959,Kepler-55 e,0.138,,,4.617534,,,808.2495914,0.67375,-0.126,8.17,1,5
3960,Kepler-55 f,0.142,,,10.198545,,,620.6347981,0.67375,-0.126,8.17,1,5
3961,Kepler-550 b,0.394,,,8.60010411,,,810.2470179,0.87,-0.02,4.68,1,1
3962,Kepler-551 b,0.244,,,12.3764661,,,503.3704437,0.65,-0.09,3.8,1,1
3963,Kepler-552 b,0.352,,,5.26341577,,,1200.421435,1.03,0.01,3.89,1,1
3964,Kepler-553 b,0.413,,,4.03046804,,,1099.271461,0.92,0.21,2.88,1,2
3965,Kepler-553 c,0.999,,,328.2399546,,,253.7307559,0.92,0.21,2.88,1,2
3966,Kepler-554 b,0.383,,,1.90220856,,,1451.596817,0.93,0.14,5.62,1,1
3967,Kepler-555 b,0.252,,,16.21775407,,,809.5606171,1.03,0,3.89,1,1
3968,Kepler-556 b,0.2,,,11.72292176,,,855.7215434,1,0.03,4.17,1,1
3969,Kepler-557 b,0.238,,,3.70598955,,,1638.994774,1.11,0.02,3.24,1,1
3970,Kepler-558 b,0.211,,,29.00790538,,,540.9992948,0.85,-0.06,4.47,1,1
3971,Kepler-559 b,0.322,,,17.58752333,,,743.727237,0.96,0.03,4.37,1,1
3972,Kepler-56 b,0.581,0.07,Mass,10.5016,0.04,,1472.16862,1.32,0.2,3.5,1,3
3973,Kepler-56 c,0.874,0.57,Mass,21.40239,0,,1161.150792,1.32,0.2,3.5,1,3
3974,Kepler-56 d,,5.61,Msini,1002,0.2,,,,0.363,,1,3
3975,Kepler-560 b,0.153,,,18.47764449,0.17,89.606,298,0.34,-0.39,4.07,2,1
3976,Kepler-561 b,0.621,,,58.3620495,,,476.8323058,0.96,0.02,4.27,1,2
3977,Kepler-561 c,0.239,,,5.35016198,,,1057.51582,0.96,0.02,4.27,1,2
3978,Kepler-562 b,0.465,,,18.00931444,,,747.3872089,0.93,-0.04,4.57,1,1
3979,Kepler-563 b,0.276,,,22.18432708,,,580.4748238,0.8,-0.08,5.37,1,1
3980,Kepler-564 b,0.413,,,3.75083228,,,1240.230824,0.95,-0.01,4.27,1,1
3981,Kepler-565 b,0.325,,,4.24374723,,,1165.822056,0.98,-0.02,4.07,1,1
3982,Kepler-566 b,0.192,,,18.42794624,,,590.1196654,0.83,-0.01,4.57,1,1
3983,Kepler-567 b,0.201,,,16.54297375,,,651.0627957,0.84,0,4.68,1,1
3984,Kepler-568 b,0.202,,,11.02347475,,,461.7924761,0.55,0.11,5.89,1,1
3985,Kepler-569 b,0.282,,,34.18890521,,,586.3678128,0.95,0.01,4.9,1,1
3986,Kepler-57 b,0.238,0.372,Mass,5.7293196,,,934.4205838,0.83,0.012625,2.64,1,2
3987,Kepler-57 c,1.543333333,0.023,Mass,11.6092567,,,737.9733705,0.83,-0.002285714,2.64,1,2
3988,Kepler-570 b,0.219,,,4.301662,,,1074.046743,0.93,0.06,5.01,1,1
3989,Kepler-571 b,0.236,,,4.79859939,,,1064.923575,0.93,0.01,4.68,1,1
3990,Kepler-572 b,0.23,,,17.20523483,,,612.0741362,0.83,-0.1,4.68,1,1
3991,Kepler-573 b,0.249,,,22.18329658,,,685.9538441,0.99,0.02,5.89,1,1
3992,Kepler-574 b,0.213,,,7.65880414,,,917.3740336,0.95,-0.01,4.17,1,1
3993,Kepler-575 b,0.213,,,9.37891944,,,881.5506061,0.97,0,3.98,1,1
3994,Kepler-576 b,0.292,,,29.91136794,,,611.1745358,0.99,0.09,4.47,1,1
3995,Kepler-577 b,0.227,,,25.69578251,,,421.9379858,0.78,-0.14,3.8,1,1
3996,Kepler-578 b,0.178,,,1.6168837,,,1576.454369,0.87,-0.03,4.68,1,1
3997,Kepler-579 b,0.178,,,9.66857723,,,791.0496052,0.99,0.13,4.07,1,1
3998,Kepler-58 b,0.268666667,0.11,Mass,10.2184954,,,997.8377416,0.95,-0.078,3.07,1,3
3999,Kepler-58 c,0.3025,,,15.5741568,,,867.0698067,0.95,-0.078,3.07,1,3
4000,Kepler-58 d,0.262,,,40.101371,,,626.748455,1.056666667,-0.078,3.07,1,3
4001,Kepler-580 b,0.229,,,8.22241966,,,594.4137332,0.67,-0.06,3.47,1,1
4002,Kepler-581 b,0.235,,,40.6069821,,,527.3411788,1,0.03,4.07,1,1
4003,Kepler-582 b,0.328,,,18.49235668,,,630.5996666,0.93,0.01,4.47,1,1
4004,Kepler-583 b,0.203,,,6.5100253,,,1057.614855,0.94,0.07,4.47,1,1
4005,Kepler-584 b,0.376,,,35.1810304,,,756.9707543,1.17,0.02,2.88,1,1
4006,Kepler-585 b,0.252,,,2.75235975,,,1391.860581,0.96,0.03,3.63,1,1
4007,Kepler-586 b,0.249,,,2.10472218,,,1474.678477,0.94,0,4.17,1,1
4008,Kepler-587 b,0.199,,,10.94027841,,,822.7070547,0.92,-0.05,4.79,1,1
4009,Kepler-588 b,0.235,,,4.22162536,,,1336.482117,1.01,0,4.07,1,1
4010,Kepler-589 b,0.203,,,16.54964934,,,682.3340405,0.88,0.01,4.47,1,2
4011,Kepler-589 c,,,,3.52466011,,,1184.178555,0.83,-0.02,14,1,2
4012,Kepler-59 b,0.1175,,,11.8681707,,,980.6395902,1.04,-0.204,1.785,1,2
4013,Kepler-59 c,0.1815,,,17.9801235,,,853.8333758,1.04,-0.204,1.785,1,2
4014,Kepler-590 b,0.359,,,5.85296257,,,1280.761854,1.1,0.07,3.55,1,1
4015,Kepler-591 b,0.302,,,81.1694299,,,446.7034182,0.97,0.01,4.17,1,1
4016,Kepler-592 b,0.213,,,2.82019241,,,1501.148565,1.04,-0.03,3.89,1,1
4017,Kepler-593 b,0.256,,,21.21708973,,,761.1193553,1.08,0.04,3.63,1,1
4018,Kepler-594 b,0.194,,,13.64618192,,,751.0327185,0.91,-0.03,4.27,1,1
4019,Kepler-595 b,0.331,0.05475,Mass,25.3029092,,,560.8560165,0.93,0.243142857,3.8,1,2
4020,Kepler-595 c,0.09,0.01038,Mass,12.38602,,,714.5152224,0.93,0.293,,1,2
4021,Kepler-596 b,0.309,,,21.30022655,,,820.6485701,1.21,0.03,2.69,1,1
4022,Kepler-597 b,0.211,,,13.02365861,,,817.4442719,0.97,-0.01,4.27,1,1
4023,Kepler-598 b,0.134,,,3.70175428,,,1131.955816,0.87,0.02,7.59,1,2
4024,Kepler-598 c,,,,86.4945,,,394.9422122,0.9,0.03,12.3,1,2
4025,Kepler-599 b,0.253,,,15.65562652,,,643.2546215,0.83,-0.02,5.01,1,1
4026,Kepler-6 b,1.304,0.668,Mass,3.2346996,,88.93,1460,1.21,0.34,4.676666667,1,1
4027,Kepler-60 b,0.153,0.01318,Mass,7.1334,,,1271.926068,1.04,-0.09,5.065,1,3
4028,Kepler-60 c,0.17,0.01211,Mass,8.9187,,,1180.336067,1.04,-0.09,5.065,1,3
4029,Kepler-60 d,0.178,0.01309,Mass,11.8981,,,1071.450731,1.04,-0.09,5.065,1,3
4030,Kepler-600 b,0.259,,,23.67517607,,,581.70687,0.84,-0.09,4.57,1,1
4031,Kepler-601 b,0.17,,,5.37886844,,,905.3462564,0.85,-0.02,4.07,1,1
4032,Kepler-602 b,0.186,,,15.28469497,,,906.0075074,1.08,-0.02,3.16,1,1
4033,Kepler-603 b,0.236,,,21.05358596,,,805.9921082,1.01,0.03,4.37,1,3
4034,Kepler-603 c,0.58,,,127.9075774,,,441.7135524,1.01,0.03,4.37,1,3
4035,Kepler-603 d,0.118,,,6.2171292,,,1193.15033,1.01,0.03,4.37,1,3
4036,Kepler-604 b,0.231,,,25.85501786,,,705.5140111,1.02,-0.02,3.72,1,1
4037,Kepler-605 b,0.128,,,3.38353807,,,1164.95588,0.91,0.02,4.47,1,2
4038,Kepler-605 c,0.077,,,2.35895152,,,1313.392602,0.91,0.02,4.47,1,2
4039,Kepler-606 b,0.295,,,24.31575992,,,764.5189449,1.13,0.01,2.88,1,1
4040,Kepler-607 b,0.078,,,0.6381632,,,2010.807532,0.84,-0.02,4.9,1,2
4041,Kepler-607 c,,,,39.67679977,,,517.4851494,0.81,0.02,,1,2
4042,Kepler-608 b,0.325,,,6.41251504,,,1138.457758,1,-0.02,3.8,1,1
4043,Kepler-609 b,0.299,,,6.52121067,,,1054.990633,1.09,0.06,3.72,1,1
4044,Kepler-61 b,0.192,,,59.87756,,,273,0.64,0.03,8.815,1,1
4045,Kepler-610 b,0.374,,,6.99692655,,,968.769421,1.1,0.12,3.55,1,2
4046,Kepler-610 c,0.294,,,151.86392,,,347.2999,1.1,0.12,3.55,1,2
4047,Kepler-611 b,0.147,,,2.4370333,,,1659.914937,1.01,0.06,4.47,1,1
4048,Kepler-612 b,0.253,,,3.72215641,,,1321.450772,0.98,0.04,4.47,1,1
4049,Kepler-613 b,0.204,,,15.77979614,,,778.7640948,0.98,-0.01,4.27,1,1
4050,Kepler-614 b,0.213,,,14.03491514,,,682.0489626,0.85,-0.07,4.79,1,1
4051,Kepler-615 b,0.155,,,10.35584657,,,603.2535007,0.73,-0.07,3.72,1,1
4052,Kepler-616 b,0.217,,,9.99761851,,,916.9788287,0.98,-0.02,3.89,1,3
4053,Kepler-616 c,0.304,,,90.4113556,,,440.132902,0.98,-0.02,3.89,1,3
4054,Kepler-616 d,,,,51.06740189,,,532.1364466,1.06,-0.02,0.4,1,3
4055,Kepler-617 b,0.118,,,1.68269615,,,851.0074802,0.51,-0.07,3.98,1,1
4056,Kepler-618 b,0.232,,,3.59576964,,,1394.527393,1.05,0.08,4.27,1,1
4057,Kepler-619 b,0.282,,,5.4042722,,,1137.852187,1.09,0.05,3.47,1,2
4058,Kepler-619 c,0.151,,,1.20846503,,,1883.443354,1.09,0.05,3.47,1,2
4059,Kepler-62 b,0.117,,,5.714932,,89.2,750,0.69,-0.37,7,1,5
4060,Kepler-62 c,0.048,,,12.4417,,89.7,578,0.69,-0.37,7,1,5
4061,Kepler-62 d,0.174,,,18.16406,,89.7,510,0.69,-0.37,7,1,5
4062,Kepler-62 e,0.144,,,122.3874,,89.98,270,0.69,-0.37,7,1,5
4063,Kepler-62 f,0.126,,,267.291,,89.9,208,0.69,-0.37,7,1,5
4064,Kepler-620 b,0.296,,,12.91375431,,,959.7443594,1.15,0.03,3.02,1,1
4065,Kepler-621 b,0.205,,,2.62811375,,,837.4640771,0.72,-0.02,3.63,1,1
4066,Kepler-622 b,0.19,,,14.28226676,,,476.1497354,0.64,-0.09,3.47,1,1
4067,Kepler-623 b,0.269,,,9.07097734,,,866.4667828,0.9,-0.03,4.47,1,1
4068,Kepler-624 b,0.206,,,14.58649607,,,908.7374535,1.1,-0.06,3.72,1,1
4069,Kepler-625 b,0.178,,,7.75192492,,,1138.423808,1.04,0.1,1.51,1,2
4070,Kepler-625 c,0.094,,,4.1653651,,,1382.978654,1.04,0.1,1.51,1,2
4071,Kepler-626 b,0.204,,,14.48585199,,,828.5699822,1.01,0.01,5.37,1,1
4072,Kepler-627 b,0.333,,,40.6994443,,,712.3988583,1.3,0.05,2.24,1,1
4073,Kepler-628 b,0.749,,,15.4580567,,,1016.844947,1,0.04,8.71,1,1
4074,Kepler-629 b,0.123,,,7.2385854,,,902.0763872,0.93,0.01,1.91,1,1
4075,Kepler-63 b,0.545,,,9.4341505,,87.806,875.2896707,0.98,0.05,0.21,1,1
4076,Kepler-630 b,0.284,,,161.4743937,,,440.7061695,1.02,0.03,4.47,1,1
4077,Kepler-631 b,0.259,,,17.97979059,,,874.7773339,1.24,0.23,2.51,1,1
4078,Kepler-632 b,0.197,,,30.99660733,,,549.4899539,0.91,0.11,3.02,1,1
4079,Kepler-633 b,0.145,,,8.50340718,,,1249.545362,1.02,-0.05,6.03,1,2
4080,Kepler-633 c,,,,23.78319931,,,894.8560043,1,-0.04,3.52,1,2
4081,Kepler-634 b,0.169,,,5.16950177,,,1404.694575,1.03,-0.18,5.37,1,1
4082,Kepler-635 b,0.236,,,23.44971004,,,916.4681101,1.33,0.41,2.34,1,1
4083,Kepler-636 b,0.397,,,16.08066115,,,,0.85,-0.02,5.01,2,1
4084,Kepler-637 b,0.424,,,23.20584623,,,916.9294247,1.64,0.38,2.19,1,1
4085,Kepler-638 b,0.163,,,6.07972888,,,1366.055002,0.88,0.04,11.75,1,1
4086,Kepler-639 b,0.212,,,10.21420496,,,1081.609148,1.14,0.23,4.37,1,1
4087,Kepler-640 b,0.228,,,22.24813967,,,691.5441737,1.01,0.15,2.09,1,1
4088,Kepler-641 b,0.165,,,9.48961571,,,1073.430799,1.02,0.15,7.08,1,1
4089,Kepler-642 b,0.259,,,4.41745855,,,1514.446274,1.4,0.06,1.95,1,1
4090,Kepler-643 b,0.906,1.01,Mass,16.33889626,0.37,,1079.090956,1,0.13,12.02,1,1
4091,Kepler-644 b,0.281,,,3.1739171,,,1856.255115,1.49,0.08,1.62,1,1
4092,Kepler-645 b,0.187,,,3.27582262,,,1711.73966,1.13,-0.01,2.95,1,1
4093,Kepler-646 b,0.178,,,15.87364565,,,688.9057899,0.93,-0.07,4.57,1,1
4094,Kepler-647 b,0.104,,,16.2254649,,,910.1284196,1.03,-0.14,4.27,1,2
4095,Kepler-647 c,,,,29.6663,,,738.6702604,1.07,-0.415,2.75,1,2
4096,Kepler-648 b,0.287,,,17.4211749,,,728.4454643,1.05,0.21,1.82,1,1
4097,Kepler-649 b,0.202,,,29.90722674,,,641.2704756,0.97,-0.17,2.95,1,1
4098,Kepler-65 b,0.127,0.0076,Mass,2.15491,0.024,92.2,1899.758792,1.25,0.17,2.9,1,4
4099,Kepler-65 c,0.23,0.0505,Mass,5.859944,0.05,92.33,1362.727127,1.25,0.17,2.9,1,4
4100,Kepler-65 d,0.136,0.013,Mass,8.13123,0.057,92.35,1219.919125,1.25,0.17,2.9,1,4
4101,Kepler-65 e,,0.82,Mass,258.8,0.283,127,,1.25,,,1,4
4102,Kepler-650 b,0.264,,,3.03214559,,,1720.909597,1.08,0.13,6.46,1,1
4103,Kepler-651 b,0.211,,,21.38521506,,,640.509723,0.92,-0.04,3.55,1,1
4104,Kepler-652 b,0.222,,,4.18200253,,,1081.126593,0.97,0.17,1.48,1,1
4105,Kepler-653 b,0.174,,,14.70748976,,,855.8985421,1.02,0.23,7.76,1,2
4106,Kepler-653 c,0.07,,,0.90037648,,,2168.088206,1.02,0.23,7.76,1,2
4107,Kepler-654 b,0.185,,,13.72465129,,,1056.057623,1.04,0.04,5.37,1,1
4108,Kepler-655 b,0.242,,,46.4063358,,,637.5753511,1.15,0,3.39,1,1
4109,Kepler-656 b,0.278,,,1.26025909,,,1656.748873,0.86,-0.04,4.37,1,1
4110,Kepler-657 b,0.314,,,24.54350418,,,723.0129505,1.01,0.03,4.17,1,1
4111,Kepler-658 b,0.145,,,1.28707676,,,1038.831399,0.63,-0.04,3.09,1,1
4112,Kepler-659 b,0.223,,,17.671796,,,571.7578211,0.79,0.02,3.24,1,1
4113,Kepler-66 b,0.25,,,17.815815,,,765.5057624,1.04,-0.2,1,1,1
4114,Kepler-660 b,0.229,,,9.27358194,,,698.4206007,0.75,-0.07,4.57,1,1
4115,Kepler-661 b,0.274,,,6.02930132,,,736.193657,0.7,-0.05,4.27,1,1
4116,Kepler-662 b,0.194,,,21.67697486,,,543.0593777,0.79,-0.03,3.63,1,1
4117,Kepler-663 b,0.232,,,4.99678284,,,1002.960091,0.86,0.03,4.57,1,1
4118,Kepler-664 b,0.237,,,2.52559332,,,1474.900823,1.01,0.07,4.68,1,1
4119,Kepler-665 b,0.232,,,16.01310205,,,613.5006838,0.79,-0.03,4.68,1,1
4120,Kepler-666 b,0.214,,,4.49876092,,,1285.971668,1.03,0.01,3.8,1,1
4121,Kepler-667 b,0.422,,,41.43962808,,,666.0213906,0.91,0.15,4.68,1,1
4122,Kepler-668 b,0.241,,,8.35390639,,,838.4601618,0.87,-0.06,3.89,1,1
4123,Kepler-669 b,0.431,,,4.12554687,,,1414.116413,1.15,0.14,3.16,1,1
4124,Kepler-67 b,0.262,,,15.7259,,,663.1399106,0.86,-0.2,1,1,1
4125,Kepler-670 b,1.176,,,2.81650485,,,1340.423938,0.99,0.07,4.79,1,1
4126,Kepler-671 b,0.24,,,4.28095859,,,1136.754957,0.97,0.08,4.47,1,1
4127,Kepler-672 b,0.223,,,38.3774623,,,575.3131266,0.95,-0.01,4.07,1,1
4128,Kepler-673 b,0.583,,,3.72873109,,,1105.46509,0.88,0,4.47,1,1
4129,Kepler-674 b,0.151,,,2.24338185,,,877.5916983,0.6,-0.27,3.31,1,1
4130,Kepler-675 b,0.218,,,2.33743801,,,1157.132793,0.79,-0.05,4.68,1,1
4131,Kepler-676 b,0.271,,,11.59822172,,,454.628234,0.51,-0.02,4.27,1,1
4132,Kepler-677 b,0.48,,,6.57531678,,,1207.646241,1,0.06,4.57,1,1
4133,Kepler-678 b,0.459,,,7.27503724,,,1082.025302,0.94,0.07,4.47,1,1
4134,Kepler-679 b,0.269,,,12.39358604,,,737.594585,0.87,-0.09,4.47,1,1
4135,Kepler-68 b,0.205571429,0.02407,Mass,5.3988,0.02,87.6,1280,1.06,0.126,6.32,2,3
4136,Kepler-68 c,0.0852,0.00642,Mass,9.6051,0.42,86.93,,1.06,0.126,6.32,2,3
