,pl_name,pl_radj,pl_bmassj,pl_bmassprov,pl_orbper,pl_orbeccen,pl_orbincl,pl_eqt,st_mass,st_met,st_age,sy_snum,sy_pnum
1203,HIP 19976 b,,0.06479,Msini,50.65905263,0.304346,,,0.67,,,1,2
1204,HIP 19976 c,,29.89588,Mass,17128.35284,0.405505,60.988,,0.67,,,1,2
1205,HIP 21152 b,,24,Mass,22000,0.36,95.3,1300,1.4,0.13,0.65,2,1
1206,HIP 34222 b,,,,159.986,,,,0.62,,,1,1
1207,HIP 35173 b,,0.03996,Msini,41.516,0.16,,,0.79,,,1,1
1208,HIP 35965 b,,8.01555,Mass,26125.56497,0.138247,43.698,,0.78,,,1,1
1209,HIP 38594 b,,0.02549,Msini,60.722,0.17,,,0.61,,,1,2
1210,HIP 38594 c,,0.15228,Msini,3477.768,0.16,,,0.61,,,1,2
1211,HIP 41378 b,0.2415,,,15.572098,,88.8,977.8670127,1.17,-0.11,,1,5
1212,HIP 41378 c,0.2165,,,31.70648,,87.5,771.518176,1.17,-0.11,,1,5
1213,HIP 41378 d,0.353,,,217.1809,,89.93,401.8071707,1.17,-0.11,4.279,1,5
1214,HIP 41378 e,0.492,,,131,,89.91,480.7496282,1.17,-0.11,,1,5
1215,HIP 41378 f,0.91,,,324,,89.98,354.3674051,1.17,-0.11,4.279,1,5
1216,HIP 4845 b,,0.04531,Msini,34.15,0.25,,,0.62,,,1,1
1217,HIP 48714 b,,0.07205,Msini,17.818,0.5,,,0.58,,,1,1
1218,HIP 5158 b,,1.2,Msini,345.72,0.52,,215.5567086,0.78,0.1,,1,2
1219,HIP 5158 c,,15.04,Msini,9017.76,0.14,,71.94128364,0.78,0.17,,1,2
1220,HIP 54373 b,,0.02712,Msini,7.76,0.2,,,0.57,,,1,2
1221,HIP 54373 c,,0.03914,Msini,15.144,0.2,,,0.57,,,1,2
1222,HIP 55507 b,,8.25957,Mass,5138.43727,0.36161,135.022,,0.65,,,1,1
1223,HIP 56640 b,,6.76984,Mass,2675.576029,0.118397,85.093,239.4890653,1.75,-0.03,9.15,1,1
1224,HIP 57274 b,,0.02,Msini,8.1352,0.19,,832.4937334,0.29,0.01,7.87,1,3
1225,HIP 57274 c,,0.40902,Msini,32.03,0.05,,437.6362902,0.73,0.09,7.87,1,3
1226,HIP 57274 d,,0.5267,Msini,431.7,0.27,,183.8957213,0.73,0.09,7.87,1,3
1227,HIP 5763 b,,,,30.014,,,,0.72,,,1,1
1228,HIP 63242 b,,,,124.6,,,,1.54,-0.31,,1,1
1229,HIP 65 A b,2.03,3.213,Mass,0.9809734,,77.18,1411,0.78,0.18,4.1,2,1
1230,HIP 65407 b,,0.428,Msini,28.125,0.14,,,0.93,0.25,,1,2
1231,HIP 65407 c,,0.784,Msini,67.3,0.12,,,0.93,0.25,,1,2
1232,HIP 65426 b,1.5,9,Mass,,,,1500,1.96,,0.014,1,1
1233,HIP 65891 b,,6.08401,Mass,1079.55726,0.128276,88.973,431.2154331,2.49,0.16,,1,1
1234,HIP 67522 b,0.898,,,6.959503,0.059,89.34,1174,1.22,0,0.017,1,1
1235,HIP 67537 b,,13.5584,Mass,2523.647133,0.586259,82.107,323.3437896,2.32,0.15,,1,1
1236,HIP 67851 b,,1.56675,Msini,88.87622241,0.063067,,819.7725716,1.9,-0.01,,1,2
1237,HIP 67851 c,,7.64758,Mass,3923.660895,0.356194,89.863,231.9484228,1.9,-0.01,,1,2
1238,HIP 70849 b,,9,Msini,17337.5,0.715,,,0.63,,3,2,1
1239,HIP 71135 b,,0.05915,Msini,87.19,0.21,,,0.66,,,1,1
1240,HIP 74890 b,,2.4,Msini,822.3,0.07,,390.8184167,1.74,0.2,,1,1
1241,HIP 75056 A b,2,25,Mass,47000,0.5,23,2300,1.92,,0.012,2,1
1242,HIP 75092 b,,1.79,Msini,926.4,0.42,,353.2313713,1.28,-0.01,4.3,1,1
1243,HIP 78530 b,,23,Mass,,,,2700,2.5,,0.005,1,1
1244,HIP 79098 AB b,,20.5,Mass,,,,2450,3.75,,0.01,2,1
1245,HIP 79431 b,,,,111.7,0.29,,,0.49,0.4,,1,1
1246,HIP 8541 b,,8.24857,Mass,1852.143872,0.360464,90.904,,2.01,-0.15,,2,2
1247,HIP 86221 b,,,,2.224,,,,0.79,,,1,1
1248,HIP 90988 b,,2.09892,Msini,455.738155,0.080562,,400.9951069,1.61,0.17,4.55,1,1
1249,HIP 91258 b,,1.09,Msini,5.0505,0.02,,1083.302881,0.97,0.23,2.4,1,1
1250,HIP 94235 b,0.268,,,7.713057,0.32,87.14,1060,1.09,0,0.118,2,1
