planet_name;number_of_stars;orbital_period;orbit_semi_major_axis;planet_radius;Inclination;eccentricity;insolation_flux;Radial_Velocity_Amplitude;planet_temperature;star_temperature;star_radius;star_mass
CoRoT-19 b;1;3.89713000;0.051660;14.460;88.000;0.056000;;131.500;;6090.00;1.65;1.21
CoRoT-19 b;1;3.89713000;0.051200;13.339;89.700;;;126.000;1630;6090.00;1.58;1.18
CoRoT-19 b;1;3.89713790;;;88.000;;;;;6090.00;1.65;1.21
CoRoT-19 b;1;3.89712026;;13.493;;;1103.81;;1470;6090.00;1.64;
CoRoT-19 b;1;3.89713100;;;;;;;;6090.00;1.65;1.21
CoRoT-19 b;1;3.89713000;0.051800;14.460;88.000;0.047000;;126.000;2000;6090.00;1.65;1.21
CoRoT-2 b;2;1.74299700;;;;;;;;5696.00;;
CoRoT-2 b;2;1.74299350;0.027980;16.432;88.080;0.014300;;603.000;;5625.00;0.91;0.96
CoRoT-2 b;2;1.74299350;0.028540;16.477;87.450;;;603.000;1548;5696.00;0.91;1.02
CoRoT-2 b;2;1.74299673;;;;;;;;5529.00;0.94;0.97
CoRoT-2 b;2;1.74299609;;16.533;88.270;;;;;5575.00;;
CoRoT-2 b;2;1.74299906;;;;;;;;;;
CoRoT-2 b;2;1.74299705;;;87.840;;;;;5696.00;;
CoRoT-2 b;2;1.74299640;0.028100;16.421;87.840;0.000000;;;;;;
CoRoT-2 b;2;1.74299750;;15.850;88.070;0.000000;;;1535;5625.00;0.90;0.97
CoRoT-2 b;2;1.74299673;0.028100;16.432;88.080;0.024000;;568.000;;5625.00;0.90;0.97
CoRoT-2 b;2;1.74301433;;16.923;;;932.91;;1410;5529.00;0.94;
CoRoT-2 b;2;1.74299350;0.028350;16.365;87.450;;;603.000;1521;5598.00;0.90;1.00
CoRoT-20 b;1;9.24318000;0.089100;11.209;85.900;;;;1024;;1.16;1.10
CoRoT-20 b;1;9.24285000;0.090100;9.416;88.210;0.575000;;459.000;;5880.00;1.02;1.14
CoRoT-20 b;1;9.24285000;0.090200;9.420;88.210;0.562000;;454.000;1002;5880.00;1.02;1.14
