planet_name,number_of_stars,orbital_period,orbit_semi_major_axis,planet_radius,Inclination,eccentricity,insolation_flux,planet_temperature,star_temperature,star_radius,star_mass
Kepler-763 d,1,6.50327035,0.0634,1.67,89.76,0.0,98.81,804.0,4999.0,0.84,0.8
Kepler-764 b,1,7.33683936,0.0722,1.59,89.95,0.0,139.19,876.0,5798.0,0.85,0.93
Kepler-765 b,1,27.6655226,0.1754,2.29,89.95,0.0,39.94,641.0,6036.0,1.02,0.94
Kepler-766 b,1,6.10027804,0.066,2.8,89.38,0.0,227.15,990.0,5957.0,0.94,1.03
Kepler-767 b,1,161.5280101,0.5733,6.15,89.95,0.0,2.43,318.0,5870.0,0.87,0.96
Kepler-769 c,1,15.9870174,0.1272,1.48,89.38,0.0,84.56,773.0,6225.0,1.01,1.07
Kepler-770 c,1,1.47532322,0.0309,5.88,88.41,0.0,13331.51,2740.0,4941.0,4.88,1.81
Kepler-770 d,1,4.15244722,0.0474,1.14,89.38,0.0,208.64,969.0,5513.0,0.75,0.82
Kepler-771 b,1,8.73485836,0.0843,1.67,88.81,0.0,148.62,890.0,5982.0,0.96,1.05
Kepler-772 b,1,12.99204853,0.1071,2.03,89.69,0.0,132.94,866.0,5765.0,1.24,0.97
Kepler-773 b,1,3.74910575,0.047,1.68,80.24,0.0,428.25,1160.0,5751.0,0.98,0.99
Kepler-774 b,1,11.0895723,0.1068,2.49,89.95,0.0,497.11,1204.0,6350.0,1.97,1.32
Kepler-780 b,1,0.67737516,0.0149,970.0,88.24,0.0,5267.01,2173.0,5735.0,1.1,0.95
Kepler-782 b,1,158.6853308,0.5692,3.73,89.38,0.0,5.47,390.0,6126.0,1.19,0.98
Kepler-783 b,1,4.29264638,0.0487,930.0,85.94,0.0,520.87,1218.0,5775.0,1.11,0.84
Kepler-783 c,1,7.05393612,0.0679,2.55,89.95,0.0,267.95,1032.0,5775.0,1.11,0.84
Kepler-784 c,1,17.1570874,0.1329,2.04,84.8,0.0,161.11,909.0,5611.0,1.79,1.06
Kepler-788 b,1,8.39846269,0.0832,2.16,84.22,0.0,216.08,978.0,6297.0,1.03,1.08
Kepler-789 b,1,8.63847391,0.0951,5.99,89.77,0.0,958.35,1419.0,5684.0,3.05,1.54
Kepler-79 b,1,13.48457668,0.1146,3.39,89.97,0.0,176.29,929.0,6198.0,1.32,1.1
Kepler-79 c,1,27.40229859,0.1839,3.63,89.96,0.0,68.46,734.0,6198.0,1.32,1.1
Kepler-792 b,1,11.30119217,0.0991,1.75,89.38,0.0,112.7,831.0,5948.0,0.99,1.01
Kepler-793 b,1,4.24153639,0.0491,1.51,87.66,0.0,452.95,1177.0,5776.0,1.05,0.88
Kepler-796 b,1,6.40087618,0.0697,2.18,89.95,0.0,533.49,1226.0,5353.0,1.88,1.1
Kepler-799 b,1,133.4605235,0.5307,7.54,89.38,0.0,4.4,369.0,6063.0,1.01,1.12
Kepler-799 c,1,15.19423359,0.1214,3.69,87.06,0.0,150.25,893.0,5588.0,1.59,1.03
Kepler-8 b,1,3.52249857,0.0473,14.83,85.37,0.0,1264.67,1521.0,6225.0,1.45,1.13
Kepler-80 c,1,9.52165016,0.0738,2.27,89.95,0.0,14.22,495.0,4040.0,0.57,0.59
Kepler-80 f,1,0.98678706,0.0163,1.0,89.38,0.0,291.55,1054.0,4040.0,0.57,0.59
Kepler-800 b,1,14.13176026,0.1107,2.91,88.24,0.0,49.68,677.0,5626.0,0.82,0.91
Kepler-801 b,1,11.41928253,0.0793,1.55,88.81,0.0,7.29,419.0,3822.0,0.49,0.51
Kepler-802 b,1,40.05881661,0.2265,3.43,88.65,0.0,13.57,489.0,5668.0,0.87,0.96
Kepler-804 b,1,14.37457572,0.1137,1.94,89.91,0.0,87.24,779.0,5768.0,1.07,0.95
Kepler-804 c,1,9.65185017,0.0873,1.17,85.94,0.0,138.84,875.0,5775.0,1.03,0.95
Kepler-808 b,1,0.63133235,0.0116,1.1,88.24,0.0,726.72,1324.0,4441.0,0.53,0.53
Kepler-81 d,1,20.83766355,0.1207,1.02,89.95,0.0,3.83,357.0,3896.0,0.52,0.54
Kepler-810 b,1,4.59725385,0.055,1.74,88.81,0.0,352.4,1105.0,5999.0,0.96,1.04
Kepler-813 b,1,19.12947337,0.1424,2.27,88.81,0.0,56.04,698.0,6061.0,0.97,1.05
Kepler-814 b,1,6.1469851,0.0676,1.78,85.37,0.0,337.87,1093.0,6341.0,1.03,1.08
