planet_name,number_of_stars,orbital_period,orbit_semi_major_axis,planet_radius,Inclination,eccentricity,insolation_flux,planet_temperature,star_temperature,star_radius,star_mass
AU Mic c,1,18.85969,0.1108,2.522,89.227,0.00338,7.3,459.0,3678.0,0.74,0.51
G 9-40 b,1,5.7459982,0.0418,1.9,89.03,0.0,6.27,441.0,3395.0,0.3,0.3
GJ 1214 b,1,1.58040453,0.01505,2.733,88.98,0.0062,17.2,567.0,3101.0,0.22,0.18
GJ 3473 b,2,1.1980035,0.01589,1.264,87.95,0.0,59.4,773.0,3347.0,0.36,0.36
GJ 367 b,1,0.3219225,0.00709,699.0,79.89,0.06,579.0,1365.0,3522.0,0.46,0.46
GJ 486 b,1,1.46712127,0.01714,1.289,89.39,0.00086,39.2,696.0,3317.0,0.32,0.31
GPX-1 b,1,1.744579,0.0338,16.477,79.9,0.0,4650.0,2300.0,7000.0,1.56,1.68
Gliese 12 b,1,12.761408,0.0668,958.0,89.194,0.5,1.62,315.0,3296.0,0.26,0.24
HAT-P-32 b,2,2.1500082,0.03397,22.194,88.98,0.159,1841.0,1836.0,6001.0,1.37,1.13
HAT-P-36 b,1,1.3273466,0.02402,15.211,85.19,0.063,1821.0,1820.0,5560.0,1.11,1.05
HAT-P-60 b,1,4.7947813,0.06277,18.282,83.75,0.25,1634.0,1772.0,6212.0,2.2,1.44
HAT-P-61 b,1,1.90231289,0.0301,10.077,83.62,0.113,849.5,1505.0,5587.0,0.94,1.0
HAT-P-62 b,1,2.6453235,0.03772,12.027,87.93,0.101,867.2,1512.0,5629.0,1.17,1.02
HAT-P-63 b,1,3.377728,0.04294,12.543,88.45,0.069,387.4,1237.0,5400.0,0.97,0.93
HAT-P-68 b,1,2.29840551,0.02996,12.016,88.73,0.041,184.8,1028.0,4508.0,0.67,0.68
HATS-36 b,1,4.1752387,0.05425,13.843,87.61,0.105,561.0,1356.0,6149.0,1.16,1.22
HATS-47 b,1,3.9228038,0.04269,12.52,87.08,0.088,87.73,853.0,4512.0,0.66,0.67
HATS-49 b,1,4.1480467,0.04515,8.575,88.27,0.071,80.45,835.0,4405.0,0.7,0.71
HATS-65 b,2,3.105161,0.04497,16.825,84.82,0.062,1178.0,1634.0,6277.0,1.31,1.26
HATS-66 b,1,3.1414391,0.04714,15.816,87.06,0.064,2637.0,1998.0,6626.0,1.84,1.41
HATS-74 A b,2,1.73185606,0.02384,11.568,87.39,0.044,106.9,895.0,3776.9,0.58,0.6
HATS-75 b,1,2.7886556,0.032742,9.909,88.07,0.064,59.26,772.0,3790.4,0.58,0.6
HATS-76 b,1,1.9416423,0.02658,12.094,88.24,0.062,129.8,940.0,4016.0,0.63,0.66
HATS-77 b,1,3.0876262,0.03607,13.058,88.44,0.045,78.37,828.0,4071.0,0.64,0.66
HD 136352 b,1,11.57779,0.0969,1.482,88.86,0.079,114.0,911.0,5850.0,1.01,0.91
HD 136352 d,1,107.245,0.425,2.562,89.73,0.0,5.74,431.0,5664.0,1.06,0.87
HD 1397 b,1,11.53533,0.1097,11.5,88.99,0.251,356.0,1228.0,5521.0,2.34,1.32
HD 15906 b,1,10.924709,0.09,2.24,87.98,0.11,33.14,668.0,4757.0,0.76,0.79
HD 183579 b,1,17.471278,0.1334,3.55,89.33,0.28,58.1,769.0,5788.0,0.98,1.03
HD 20329 b,1,0.926118,0.018,1.72,76.01,0.0,3474.0,2141.0,5596.0,1.13,0.9
HD 207496 b,1,6.441008,0.0629,2.25,88.79,0.231,72.9,743.0,4819.0,0.77,0.8
HD 207897 b,1,16.202159,0.1163,2.501,88.757,0.047,26.5,632.0,5070.0,0.78,0.8
HD 219134 c,1,6.76458,0.0653,1.511,87.28,0.062,62.1,782.0,4699.0,0.78,0.81
HD 23472 b,1,17.667087,0.1162,2.0,88.93,0.072,16.0,543.0,4684.0,0.71,0.67
HD 23472 d,1,3.97664,0.04298,750.0,87.95,0.07,117.0,909.0,4684.0,0.71,0.67
HD 23472 e,1,7.90754,0.068,818.0,88.63,0.07,46.7,723.0,4684.0,0.71,0.67
HD 23472 f,1,12.1621839,0.0906,1.137,88.81,0.07,26.3,630.0,4684.0,0.71,0.67
HD 260655 b,1,2.76953,0.02933,1.24,87.35,0.039,42.2,709.0,3803.0,0.44,0.44
HD 260655 c,1,5.70588,0.04749,1.533,87.79,0.038,16.1,557.0,3803.0,0.44,0.44
HD 5278 b,1,14.339156,0.1202,2.45,89.27,0.08,132.0,943.0,6203.0,1.19,1.13
HD 73583 b,1,6.398042,0.0604,2.79,88.37,0.09,43.3,714.0,4511.0,0.65,0.73
HD 73583 c,1,18.87974,0.1242,2.39,89.72,0.08,10.2,498.0,4511.0,0.65,0.73
HD 95338 b,1,55.087,0.262,3.89,89.57,0.197,7.42,385.0,5212.0,0.87,0.83
HR 858 d,2,11.23,0.1027,2.164,87.43,0.28,217.0,1075.0,6201.0,1.31,1.15
K2-141 b,1,0.2803244,0.00747,1.51,86.3,0.0,3260.0,2103.0,4570.0,0.68,0.71
K2-141 c,1,7.7485,0.0683,7.0,87.2,0.092,39.1,695.0,4570.0,0.68,0.71
K2-222 b,1,15.38857,0.1206,2.35,89.12,0.16,96.0,871.0,5942.0,1.11,0.99
K2-261 b,1,11.633478,0.1034,9.528,88.07,0.286,180.0,1046.0,5445.0,1.64,1.09
K2-263 b,1,50.818947,0.2573,2.41,89.24,0.15,8.17,470.0,5368.0,0.85,0.88
K2-266 d,2,14.697,0.1035,2.93,89.46,0.047,13.95,538.0,4285.0,0.7,0.69
K2-266 e,2,19.482,0.1249,2.73,89.45,0.043,9.58,490.0,4285.0,0.7,0.69
K2-285 b,1,3.471745,0.03817,2.59,86.846,0.0,234.31,1089.0,4975.0,0.79,0.83
K2-285 c,1,7.138048,0.0824,3.53,89.861,0.0,50.35,741.0,4975.0,0.79,0.83
K2-36 b,1,1.422614,0.02288,1.43,84.45,0.093,519.0,1328.0,4916.0,0.72,0.79
K2-36 c,1,5.340888,0.054,3.2,86.917,0.0,90.0,788.0,4916.0,0.72,0.79
K2-38 b,1,4.01593,0.0503,1.655,88.36,0.11,490.0,1310.0,5705.0,1.14,1.05
K2-38 c,1,10.56103,0.0959,2.49,87.68,0.086,135.3,949.0,5705.0,1.14,1.05
KELT-23 A b,2,2.255251,0.03302,14.83,85.37,0.0,991.18,1561.0,5899.0,1.0,0.94
KIC 5437945 b,1,440.7843755,1.1455,7.23,89.84,0.0,2.14,308.0,6340.0,1.39,1.03
KIC 9663113 b,1,572.376632,1.4062,5.8,89.7,0.0,1.15,264.0,6226.0,1.3,1.13
KOI-1257 b,2,86.64763676,0.3529,7.62,89.95,0.0,4.24,366.0,5321.0,0.86,0.78
KOI-1833 d,1,7.68433487,0.0632,1.95,89.38,0.0,27.88,586.0,4397.0,0.58,0.57
KOI-217 b,1,3.90508168,0.0485,12.78,89.37,0.0,282.59,1046.0,5543.0,0.89,1.0
KOI-3503 b,1,21.1875846,0.1457,770.0,89.95,0.0,48.81,674.0,6338.0,0.85,0.92
KOI-351 b,1,7.00828076,0.0709,1.15,89.95,0.0,299.49,1061.0,6238.0,1.05,0.97
KOI-351 f,1,124.922516,0.5036,3.37,88.33,0.0,6.45,407.0,5970.0,1.2,1.09
KOI-3680 b,1,141.2415405,0.5205,11.49,89.96,0.0,3.62,352.0,5705.0,1.02,0.94
KOI-4777.01,1,0.82400012,0.0113,420.0,80.79,0.0,73.09,746.0,3396.0,0.28,0.28
KOI-94 b,2,3.74317556,0.0485,1.55,83.65,0.0,885.02,1391.0,6098.0,1.3,1.08
KOI-984 b,1,4.28746668,0.0501,2.29,88.93,0.0,186.31,942.0,5296.0,0.81,0.91
Kepler-1000 b,1,120.0181272,0.5244,4.67,89.38,0.0,14.87,501.0,6749.0,1.48,1.34
Kepler-1001 c,1,9.18189122,0.084,2.17,79.49,0.0,98.61,804.0,5741.0,0.85,0.94
Kepler-1004 b,1,5.28789787,0.0665,7.09,83.65,0.0,1805.27,1662.0,4992.0,3.79,1.41
Kepler-1005 b,1,6.49801525,0.0663,1.52,89.38,0.0,262.88,1027.0,5718.0,1.1,0.92
Kepler-1007 b,1,5.18500207,0.048,1.17,89.95,0.0,42.62,652.0,4325.0,0.56,0.55
Kepler-1008 b,2,12.43931193,0.102,2.83,89.95,0.0,174.46,927.0,5108.0,1.73,0.91
Kepler-101 b,1,3.48768943,0.0468,4.36,89.95,0.0,656.81,1291.0,5761.0,1.21,1.12
Kepler-1010 b,1,34.2685705,0.1925,2.47,89.38,0.0,14.56,498.0,5325.0,0.87,0.81
Kepler-1016 b,1,1.95452597,0.0307,2.38,82.98,0.0,1331.18,1540.0,5741.0,1.14,1.01
Kepler-102 d,1,10.31173752,0.0837,1.4,87.09,0.0,39.04,638.0,4812.0,0.76,0.73
Kepler-102 e,1,16.14569077,0.1129,2.52,88.24,0.0,21.46,549.0,4812.0,0.76,0.73
Kepler-1020 b,1,96.9151496,0.3796,2.01,89.95,0.0,2.28,313.0,5229.0,0.7,0.78
Kepler-1024 b,1,66.4162133,0.3022,3.77,89.95,0.0,4.7,376.0,5387.0,0.76,0.84
Kepler-1026 b,1,36.5157639,0.1977,2.55,89.11,0.0,7.71,425.0,4847.0,0.78,0.77
Kepler-1027 b,2,1.9078052,0.0296,1.9,89.95,0.0,2820.62,1859.0,5537.0,1.71,0.95
Kepler-1028 b,1,2.5146285,0.0354,1.27,88.78,0.0,517.89,1217.0,5662.0,0.84,0.94
Kepler-1029 b,1,4.41769648,0.0468,1.2,89.38,0.0,124.59,852.0,4911.0,0.72,0.7
Kepler-103 c,1,179.609803,0.6372,5.47,89.46,0.0,5.41,389.0,5880.0,1.43,1.07
Kepler-1030 b,1,19.32952416,0.1345,2.52,89.38,0.0,19.16,534.0,5023.0,0.78,0.87
Kepler-1031 b,1,1.22621732,0.0229,780.0,88.24,0.0,2313.02,1769.0,6095.0,0.99,1.06
Kepler-1032 b,1,3.29011795,0.0361,1.53,89.38,0.0,97.96,802.0,4484.0,0.59,0.58
Kepler-1033 b,1,7.56052806,0.0761,2.57,88.81,0.0,164.9,914.0,5895.0,0.94,1.03
Kepler-1036 b,1,122.8808058,0.4792,2.91,88.81,0.0,3.01,336.0,5650.0,0.87,0.97
Kepler-1038 c,1,7.12768673,0.068,1.17,89.95,0.0,99.31,805.0,5463.0,0.76,0.83
Kepler-1039 b,1,0.93488424,0.0184,3.48,74.48,0.0,4435.29,2081.0,4777.0,1.79,0.95
Kepler-1040 b,1,201.1214,0.6291,1.84,89.95,0.0,1.83,297.0,5804.0,0.84,0.82
Kepler-1046 b,1,14.37508035,0.1202,1.61,89.38,0.0,85.73,776.0,6063.0,1.01,1.12
Kepler-1047 b,1,56.1886436,0.2939,2.56,88.56,0.0,15.13,503.0,5700.0,1.18,1.07
Kepler-1047 c,1,3.18897601,0.0422,790.0,89.38,0.0,521.23,1219.0,5798.0,0.96,0.98
Kepler-1049 b,1,3.27346074,0.0334,870.0,84.22,0.0,34.96,620.0,3809.0,0.46,0.46
Kepler-105 c,1,7.12594591,0.0746,1.88,89.38,0.0,476.01,1191.0,6391.0,1.33,1.08
Kepler-1050 b,1,15.3787546,0.1227,1.51,88.81,0.0,90.26,786.0,6086.0,1.05,1.04
Kepler-1050 c,1,21.1285655,0.1622,2.88,89.48,0.0,180.55,935.0,5817.0,2.15,1.28
Kepler-1052 c,1,180.921729,0.6135,2.3,89.99,0.0,1.96,302.0,5818.0,0.85,0.94
Kepler-1057 b,1,14.08826442,0.1138,2.66,89.71,0.0,64.97,724.0,5853.0,0.9,0.99
Kepler-1058 b,1,110.96546,0.3679,2.12,89.38,0.0,0.77,239.0,4441.0,0.55,0.54
Kepler-106 b,1,6.16491696,0.0646,850.0,87.66,0.0,271.63,1035.0,5881.0,1.03,0.94
Kepler-1062 b,1,9.30412078,0.0748,1.64,89.38,0.0,27.35,583.0,4458.0,0.66,0.65
Kepler-1064 b,1,16.54080322,0.1126,1.26,89.95,0.0,19.71,537.0,5094.0,0.64,0.69
Kepler-1065 b,1,3.60931306,0.0455,3.26,88.42,0.0,336.16,1092.0,5668.0,0.87,0.96
Kepler-1065 c,1,2.37030743,0.0344,1.56,87.66,0.0,588.1,1256.0,5668.0,0.87,0.96
Kepler-1068 b,1,16.92344113,0.134,3.63,89.95,0.0,68.98,735.0,6063.0,1.01,1.12
Kepler-107 d,1,7.95830216,0.0813,1.07,89.38,0.0,315.94,1075.0,5851.0,1.41,1.14
Kepler-1072 b,1,1.5690666,0.0269,1.68,88.73,0.0,2763.39,1849.0,5821.0,1.4,1.05
Kepler-1073 c,1,4.02582434,0.0483,1.79,89.92,0.0,440.08,1169.0,5509.0,1.12,0.92
Kepler-1073 d,1,2.50475282,0.0352,1.48,89.08,0.0,828.59,1369.0,5509.0,1.12,0.92
Kepler-1075 b,1,1.52372816,0.0214,1.38,76.2,0.0,130.37,862.0,3900.0,0.54,0.56
Kepler-1076 b,1,6.14727918,0.0611,810.0,89.38,0.0,83.12,770.0,4996.0,0.75,0.81
Kepler-1079 b,1,13.24503482,0.1092,1.77,88.59,0.0,146.31,887.0,5636.0,1.39,0.99
Kepler-108 b,2,49.18394185,0.2829,8.2,89.94,0.0,47.4,669.0,5626.0,2.06,1.25
Kepler-1083 b,1,33.4177993,0.1898,3.22,88.24,0.0,9.64,449.0,5142.0,0.74,0.82
Kepler-1084 b,1,2.05334189,0.0324,1.44,61.5,0.0,2154.14,1737.0,6084.0,1.36,1.08
Kepler-1085 b,1,219.3215562,0.7391,6.11,89.9,0.0,2.27,313.0,6063.0,1.01,1.12
Kepler-1085 c,1,56.7769831,0.3002,3.21,89.15,0.0,13.74,491.0,6063.0,1.01,1.12
Kepler-1086 c,2,161.5163345,0.4964,2.74,89.95,0.0,0.4,203.0,4137.0,0.61,0.62
Kepler-1087 b,1,0.69384285,0.0154,820.0,89.38,0.0,4912.96,2135.0,5582.0,1.16,1.0
Kepler-1088 b,1,23.1274171,0.1602,1.44,88.31,0.0,46.89,667.0,5865.0,1.07,1.02
Kepler-109 b,1,6.48162809,0.069,2.29,89.38,0.0,412.93,1150.0,5952.0,1.32,1.04
Kepler-1090 c,1,42.4267342,0.2212,3.08,87.09,0.0,12.79,482.0,5403.0,0.91,0.8
Kepler-1093 b,1,25.0823402,0.1685,2.26,86.89,0.0,85.76,776.0,6429.0,1.26,1.01
Kepler-1095 b,1,4.27103091,0.0514,1.24,89.95,0.0,356.54,1108.0,5984.0,0.91,0.99
Kepler-1097 b,1,187.746606,0.5791,2.95,90.0,0.0,1.2,267.0,5303.0,0.75,0.73
Kepler-11 c,1,13.02493307,0.1055,2.88,89.99,0.0,90.1,786.0,5657.0,1.05,0.92
Kepler-11 f,1,46.6856205,0.2472,2.52,89.78,0.0,16.41,513.0,5657.0,1.05,0.92
Kepler-1100 b,1,6.42200058,0.0689,1.28,89.38,0.0,272.65,1036.0,6201.0,0.99,1.06
Kepler-1103 b,1,19.79191978,0.1475,2.04,89.95,0.0,67.88,732.0,6277.0,1.03,1.08
Kepler-1105 b,1,4.42157218,0.0461,1.92,86.52,0.0,55.8,697.0,4189.0,0.66,0.67
Kepler-1106 b,1,1.25275217,0.0229,1.39,89.95,0.0,2346.25,1775.0,6231.0,0.95,1.02
Kepler-1107 b,1,0.57103835,0.0126,1.65,66.6,0.0,3069.59,1897.0,5132.0,0.89,0.82
Kepler-1109 b,1,37.6467384,0.2116,1.77,89.38,0.0,15.76,508.0,5758.0,0.85,0.89
Kepler-111 b,1,3.34180294,0.0452,1.75,76.2,0.0,698.74,1311.0,5906.0,1.15,1.1
Kepler-1110 b,1,9.69312032,0.0754,2.34,88.24,0.0,32.4,608.0,4818.0,0.62,0.61
Kepler-1114 b,1,14.97435694,0.1103,1.5,89.95,0.0,55.62,696.0,5470.0,0.92,0.8
Kepler-1116 b,1,41.6977827,0.2331,2.37,89.95,0.0,13.57,489.0,5737.0,0.87,0.97
Kepler-1117 b,1,4.79028459,0.0538,1.01,89.38,0.0,203.99,964.0,5573.0,0.83,0.9
Kepler-1118 b,1,38.6715075,0.2079,2.56,88.81,0.0,15.03,502.0,5432.0,0.91,0.8
Kepler-112 b,1,8.40887814,0.0744,2.28,89.95,0.0,101.22,809.0,5551.0,0.81,0.78
Kepler-112 c,1,28.5742649,0.1675,2.8,89.38,0.0,32.23,608.0,5763.0,0.96,0.77
Kepler-1120 b,1,2.94902905,0.0369,1.51,89.38,0.0,263.92,1028.0,4983.0,0.81,0.77
Kepler-1121 b,1,13.15141081,0.1154,1.7,82.51,0.0,224.5,987.0,6331.0,1.44,1.19
Kepler-1122 b,1,42.1918331,0.2315,2.35,89.92,0.0,18.08,526.0,5520.0,1.08,0.93
Kepler-1123 b,1,4.33946454,0.0517,1.69,89.95,0.0,263.56,1028.0,5602.0,0.89,0.98
Kepler-1124 b,1,2.85234897,0.0309,1.79,89.95,0.0,37.58,631.0,3694.0,0.46,0.48
Kepler-1126 c,1,199.66876,0.6193,1.45,89.98,0.0,2.06,305.0,5678.0,0.92,0.79
Kepler-1127 b,1,5.1233204,0.0556,1.65,88.72,0.0,231.12,994.0,5364.0,0.98,0.87
Kepler-1128 b,1,61.6174528,0.302,3.36,89.96,0.0,7.67,424.0,5480.0,0.93,0.97
Kepler-113 c,1,8.92507952,0.0763,2.36,87.69,0.0,36.89,628.0,4728.0,0.69,0.77
Kepler-1130 b,2,5.45298742,0.0595,920.0,84.83,0.0,158.12,904.0,5450.0,0.84,0.94
Kepler-1134 b,1,17.13263125,0.1242,2.31,89.59,0.0,32.91,611.0,5477.0,0.79,0.88
Kepler-1135 b,1,76.957056,0.3436,2.09,89.25,0.0,9.81,451.0,5878.0,1.04,0.91
Kepler-1137 b,1,23.9210791,0.1847,2.23,89.95,0.0,217.61,980.0,7143.0,1.78,1.47
Kepler-1139 b,1,0.81316636,0.0165,1.14,89.23,0.0,1945.44,1693.0,5237.0,0.89,0.91
Kepler-114 c,1,8.04133121,0.0648,1.28,89.95,0.0,15.64,507.0,3983.0,0.54,0.56
Kepler-1140 b,1,24.08632177,0.1478,2.78,89.14,0.0,14.78,500.0,4973.0,0.77,0.74
Kepler-1141 b,1,2.34451194,0.0342,860.0,89.38,0.0,1164.46,1490.0,5915.0,1.11,0.97
Kepler-1142 b,1,18.3027248,0.1274,1.22,86.52,0.0,37.04,629.0,5692.0,0.8,0.82
Kepler-1143 c,1,210.630591,0.605,3.21,89.95,0.0,0.66,230.0,4905.0,0.68,0.67
Kepler-1144 b,1,17.14647302,0.1264,1.81,89.95,0.0,52.3,686.0,5978.0,0.85,0.91
Kepler-1146 b,1,2.35227391,0.0325,1.29,89.48,0.0,255.03,1019.0,4816.0,0.75,0.84
Kepler-1148 b,1,1.10446351,0.0188,1.64,89.38,0.0,898.79,1396.0,5002.0,0.75,0.72
Kepler-1149 b,1,3.73089898,0.0466,1.27,87.09,0.0,365.36,1115.0,5830.0,0.88,0.97
Kepler-115 b,1,2.4036433,0.0351,990.0,88.24,0.0,1071.38,1459.0,5977.0,1.07,1.0
Kepler-115 c,1,8.99088871,0.0847,2.31,89.38,0.0,183.99,939.0,5977.0,1.07,1.0
Kepler-1154 c,1,8.45808312,0.0837,1.67,89.38,0.0,192.5,950.0,6163.0,1.02,1.09
Kepler-1155 b,1,33.4698571,0.2006,2.45,88.22,0.0,32.52,609.0,5912.0,1.09,0.96
Kepler-1156 b,1,11.89520511,0.1025,1.25,89.38,0.0,102.66,812.0,6061.0,0.94,1.01
Kepler-1157 b,1,4.45743267,0.0448,790.0,89.31,0.0,67.7,732.0,4487.0,0.61,0.6
Kepler-1159 b,1,22.70816791,0.1603,1.82,89.38,0.0,49.67,677.0,6170.0,0.99,1.06
Kepler-116 c,1,13.071489,0.1153,1.85,89.95,0.0,163.73,912.0,6484.0,1.17,1.2
Kepler-1160 b,1,7.97034958,0.0755,1.97,89.95,0.0,118.57,842.0,5782.0,0.82,0.9
Kepler-1161 b,1,10.71252541,0.077,1.93,88.81,0.0,11.3,468.0,4083.0,0.52,0.53
Kepler-1162 b,1,32.5637069,0.194,2.22,88.81,0.0,15.98,510.0,5575.0,0.83,0.92
Kepler-1162 c,1,59.2841571,0.2892,1.79,89.95,0.0,7.19,418.0,5575.0,0.83,0.92
Kepler-1163 b,1,6.11784972,0.0685,1.05,88.22,0.0,509.24,1211.0,6226.0,1.33,1.14
Kepler-1165 b,1,9.478522,0.0905,1.43,89.38,0.0,192.33,950.0,6224.0,1.08,1.09
Kepler-1165 c,1,29.9686052,0.1949,2.0,89.95,0.0,41.47,647.0,6224.0,1.08,1.09
Kepler-1167 b,1,1.00393374,0.0175,1.7,88.24,0.0,962.58,1421.0,4949.0,0.74,0.71
Kepler-1169 b,1,6.11009134,0.0681,990.0,89.38,0.0,376.57,1123.0,5971.0,1.24,1.13
Kepler-117 c,1,50.79034648,0.2776,10.6,89.91,0.0,33.12,612.0,6163.0,1.41,1.1
Kepler-1172 b,1,26.0204423,0.1716,3.26,89.38,0.0,27.91,586.0,5806.0,0.9,1.0
Kepler-1175 b,1,37.9456138,0.2181,2.79,89.79,0.0,16.61,515.0,5861.0,0.86,0.96
Kepler-1178 b,1,31.80634,0.1596,730.0,89.95,0.0,4.84,378.0,4729.0,0.53,0.53
Kepler-1180 b,1,16.8600805,0.1246,1.71,87.77,0.0,80.9,765.0,6205.0,0.97,0.91
Kepler-1181 b,1,4.89337519,0.0621,1.57,89.38,0.0,803.93,1358.0,6680.0,1.32,1.33
Kepler-1181 c,1,8.93490815,0.0928,1.57,89.38,0.0,360.0,1111.0,6680.0,1.32,1.33
Kepler-1182 b,1,11.17394617,0.0981,2.05,85.94,0.0,94.84,796.0,5911.0,0.91,1.01
Kepler-1183 b,1,28.5057217,0.1793,2.55,88.47,0.0,22.43,555.0,5712.0,0.87,0.94
Kepler-1185 b,1,104.3518976,0.4425,1.44,89.95,0.0,4.46,371.0,5754.0,0.94,1.06
Kepler-1188 b,1,17.1369543,0.1344,2.17,89.95,0.0,87.94,781.0,6217.0,1.09,1.1
Kepler-119 b,1,2.42208445,0.0343,3.6,89.38,0.0,513.44,1214.0,5588.0,0.83,0.91
Kepler-1192 b,1,25.2034787,0.1693,2.57,89.95,0.0,30.62,600.0,5831.0,0.92,1.02
Kepler-1193 b,1,2.83264725,0.0403,1.37,87.57,0.0,1054.98,1453.0,5865.0,1.27,1.09
Kepler-1196 b,1,66.1849031,0.3146,2.01,89.95,0.0,8.18,431.0,5893.0,0.87,0.95
Kepler-120 b,1,6.31250373,0.0561,2.06,89.38,0.0,26.01,576.0,4096.0,0.57,0.59
Kepler-1204 b,1,85.7350285,0.3877,3.14,89.95,0.0,9.54,448.0,6096.0,1.08,1.05
Kepler-1205 b,1,1.07839035,0.0196,1.75,88.81,0.0,1817.38,1665.0,5325.0,0.98,0.86
Kepler-1206 b,1,1.21700038,0.0201,1.58,89.77,0.0,707.61,1314.0,4859.0,0.76,0.73
Kepler-1207 b,1,13.68237119,0.1156,1.53,87.66,0.0,97.74,802.0,6102.0,1.03,1.1
Kepler-1208 b,1,11.08507637,0.0901,2.42,89.95,0.0,46.17,665.0,5080.0,0.79,0.79
Kepler-121 b,1,3.1774146,0.039,2.65,85.79,0.0,233.26,997.0,5303.0,0.71,0.79
Kepler-1210 b,1,8.07124073,0.0753,1.56,88.81,0.0,126.94,856.0,5766.0,0.85,0.87
Kepler-1212 b,1,12.94130146,0.1082,1.77,89.38,0.0,94.29,795.0,6119.0,0.94,1.01
Kepler-1214 b,1,18.82634264,0.128,2.49,89.95,0.0,28.85,591.0,5215.0,0.84,0.79
Kepler-1215 b,1,4.76703963,0.0528,1.22,88.81,0.0,282.97,1046.0,5629.0,0.94,0.86
Kepler-1216 b,1,4.37034536,0.0543,1.46,88.81,0.0,420.07,1155.0,6063.0,1.01,1.12
Kepler-122 c,1,12.46599556,0.1063,4.66,88.81,0.0,98.96,804.0,6103.0,0.95,1.03
Kepler-122 d,1,21.5878875,0.1533,1.52,89.95,0.0,47.58,670.0,6103.0,0.95,1.03
Kepler-122 e,1,37.9962369,0.221,2.39,89.97,0.0,34.55,618.0,6038.0,1.19,0.99
Kepler-1223 b,1,16.301259,0.1187,1.31,89.38,0.0,22.67,557.0,4875.0,0.8,0.84
Kepler-1224 b,1,13.32351601,0.1108,1.11,89.38,0.0,124.69,852.0,6282.0,1.05,1.01
Kepler-1225 b,1,7.01075434,0.0738,1.57,89.38,0.0,283.48,1046.0,6341.0,1.03,1.08
Kepler-1227 b,1,94.2887577,0.3816,2.16,89.95,0.0,5.64,393.0,5799.0,0.9,0.83
Kepler-1232 b,1,26.7839183,0.1701,2.12,89.38,0.0,27.36,583.0,5495.0,0.98,0.91
Kepler-1233 b,1,45.126216,0.263,2.32,89.39,0.0,31.54,604.0,6499.0,1.17,1.19
Kepler-1234 b,1,11.94019101,0.096,1.86,89.35,0.0,35.99,625.0,5073.0,0.75,0.86
Kepler-1236 b,1,31.0571618,0.1799,1.92,89.38,0.0,13.3,487.0,5422.0,0.75,0.81
Kepler-1239 b,1,5.19104016,0.0626,2.07,87.66,0.0,477.92,1192.0,6343.0,1.14,1.21
Kepler-124 d,1,30.9505927,0.1719,1.51,86.47,0.0,7.91,428.0,4983.0,0.65,0.71
Kepler-1243 b,1,16.83203175,0.1256,1.86,88.9,0.0,53.44,690.0,5518.0,1.01,0.93
Kepler-1245 c,1,2.93658468,0.0372,1.64,89.38,0.0,473.18,1189.0,5455.0,0.91,0.8
Kepler-1247 b,1,13.71220213,0.1091,2.4,89.95,0.0,50.26,679.0,5561.0,0.84,0.92
Kepler-1248 b,1,7.46718958,0.0806,1.04,87.99,0.0,271.25,1035.0,6161.0,1.17,1.25
Kepler-1249 b,1,24.3347127,0.167,1.82,89.38,0.0,41.3,647.0,6091.0,0.97,1.04
Kepler-125 b,1,4.16438451,0.0411,2.54,87.73,0.0,28.75,590.0,3808.0,0.51,0.53
Kepler-1250 b,1,2.60754516,0.0393,2.07,89.17,0.0,993.79,1431.0,6147.0,1.1,1.19
Kepler-1252 b,1,15.0539886,0.1078,1.44,86.09,0.0,46.3,665.0,5475.0,0.82,0.73
Kepler-1254 b,1,9.99115241,0.0833,1.68,88.16,0.0,44.77,660.0,4838.0,0.8,0.77
Kepler-1254 c,1,3.60084276,0.0425,1.32,88.24,0.0,196.13,954.0,5130.0,0.76,0.79
Kepler-1254 d,1,5.72717226,0.058,1.35,89.38,0.0,105.31,817.0,5130.0,0.76,0.79
Kepler-1257 b,1,2.66831376,0.0376,1.55,88.24,0.0,581.38,1252.0,5806.0,0.9,1.0
Kepler-1258 b,1,0.98494017,0.0194,840.0,88.81,0.0,2743.96,1846.0,6060.0,0.93,1.01
Kepler-1259 b,1,0.66308526,0.0142,1.48,86.52,0.0,1977.89,1701.0,5166.0,0.79,0.87
Kepler-126 c,1,21.86967617,0.1622,1.56,88.24,0.0,95.05,796.0,6239.0,1.36,1.19
Kepler-1260 b,1,19.1187753,0.1305,1.45,86.52,0.0,48.51,673.0,5923.0,0.87,0.81
Kepler-1261 b,1,48.4308991,0.249,2.41,89.95,0.0,6.59,409.0,5136.0,0.81,0.88
Kepler-1262 b,1,8.67900242,0.0829,1.91,89.38,0.0,195.43,954.0,6112.0,1.04,1.01
Kepler-1266 b,1,28.474748,0.1725,2.61,88.24,0.0,13.51,489.0,5274.0,0.76,0.85
Kepler-1267 b,1,13.0313583,0.1057,2.88,86.61,0.0,84.94,774.0,5514.0,1.07,0.93
Kepler-1268 b,1,40.9903986,0.2395,2.14,89.95,0.0,32.83,610.0,6324.0,1.15,1.08
Kepler-1269 b,1,37.3331536,0.2227,1.54,89.95,0.0,31.45,604.0,6144.0,1.11,1.05
Kepler-127 b,1,14.43594397,0.1245,1.46,89.38,0.0,148.23,890.0,6106.0,1.36,1.24
