planet_name;number_of_stars;orbital_period;orbit_semi_major_axis;planet_radius;Inclination;eccentricity;insolation_flux;Radial_Velocity_Amplitude;planet_temperature;star_temperature;star_radius;star_mass;calc_semi_major_axis
6 Lyn b;1;874.774;2.18;;;0.125;;31.53;;;5.2;1.82;2.1855251198586143
6 Lyn b;1;919.86;2.028;;;0.042;;32.76;;4941.0;4.94;1.32;2.0305197995003446
61 Vir b;1;4.215;0.050201;;;0.12;;2.12;;5577.0;0.96;0.94;0.050023694805707716
61 Vir b;1;4.21487;0.04956;;;0.099;;2.17;;5585.57;1.03;0.91;0.04948474641734637
61 Vir c;1;38.0957;0.2151;;;0.068;;3.27;;5585.57;1.03;0.91;0.21471672036301234
61 Vir c;1;38.021;0.2175;;;0.14;;3.62;;5577.0;0.96;0.94;0.21676695161818707
61 Vir d;1;123.01;0.476;;;0.35;;3.25;;5577.0;0.96;0.94;0.4741739149481048
7 CMa b;1;763.0;1.9;;;0.14;;44.9;;4792.0;2.3;1.52;1.8788797402475097
7 CMa b;1;735.1;1.758;;90.0;0.06;;34.3;;4826.0;4.87;1.34;1.75738659824472
7 CMa b;1;796.0;1.93;;;0.22;;41.8;;4794.52;4.91;;
7 CMa b;1;;1.8;;;;;;;;5.2;1.44;
7 CMa c;1;996.0;2.153;;90.0;0.08;;14.9;;4826.0;4.87;1.34;2.1518364211944867
7 CMa c;1;;2.205;;;;;;;;5.2;1.44;
70 Vir b;1;116.688;0.481;;;0.3988;;316.2;;5495.0;1.89;1.09;0.4809438685047478
70 Vir b;1;116.6926;0.481;;;0.399;;315.7;;5439.0;1.94;1.09;0.4809565080635701
70 Vir b;1;116.689;0.456;;;0.397;;314.1;;;;;
70 Vir b;1;116.6884;0.484;;;0.4007;;316.3;;5545.0;;1.11;0.48386871703189605
70 Vir b;1;116.6884;0.48;;;0.4;;316.3;;5531.0;1.84;1.14;0.48818920204159416
70 Vir b;1;116.69335;0.4765;;;0.3989;;315.54;;5481.86;1.92;1.06;0.47650499301846966
75 Cet b;2;696.62;1.912;;;0.093;;36.92;;4809.0;10.38;1.92;1.9114625681693187
75 Cet b;2;691.9;2.1;;;0.117;;38.3;;4846.0;10.5;2.49;2.075057322092113
75 Cet c;2;2051.62;3.929;;;0.023;;9.44;;4809.0;10.38;1.92;3.9273516378777487
8 UMi b;1;93.4;0.49;;;0.06;;46.1;;4847.0;10.3;1.44;0.45493935798363616
8 UMi b;1;93.4;0.49;;;0.06;;46.1;;4847.4;9.9;1.8;0.4900685673503896
81 Cet b;1;952.7;2.5;;;0.206;;62.8;;4785.0;11.0;2.4;2.5369346854873704
81 Cet b;1;;2.17;;;;;;;;;1.6;
81 Cet b;1;1005.57;2.104;;;0.037;;58.51;;4734.0;11.21;1.23;2.1046408948326083
91 Aqr b;3;181.4;0.7;;;0.027;;91.5;;4665.0;11.0;1.4;0.7015666929122023
AB Aur b;1;;93.9;;42.6;0.4;;;;9770.0;;2.4;
AB Pic b;1;;260.0;;;;;;;;;;
AF Lep b;1;7520.0;7.99;;82.0;0.47;;;1400.0;6100.0;1.25;1.2;7.982527155426535
AF Lep b;1;8030.0;8.4;;50.0;0.24;;;;6130.0;1.25;1.2;8.339478136087235
AF Lep b;1;9060.0;9.3;;98.0;0.32;;;;6140.0;;1.13;8.858898146417207
AU Mic b;1;8.4631427;;;;;;4.5;;3665.0;0.82;0.6;0.06854981517217676
AU Mic b;1;8.46321;;;89.5;;;8.5;;3700.0;0.75;0.5;0.06450818783282891
AU Mic b;1;8.463;0.0645;4.07;89.5;0.0;;8.5;593.0;3700.0;0.75;0.5;0.06450712072192823
AU Mic b;1;8.46321;;;;0.0;;;;;;;
AU Mic b;1;8.4630004;0.0644;4.19;89.18;0.12;;;;;0.75;;
AU Mic b;1;;;4.027;;;76.64;;755.0;3588.0;0.7;;
AU Mic b;1;8.4629991;0.0645;;;0.186;;10.23;;;;0.5;0.0645071161485768
AU Mic b;1;8.46308;0.0649;3.957;89.579;0.00577;21.2;;600.0;3678.0;0.74;0.51;0.06493474185876823
AU Mic b;1;8.463;;;;0.04;;5.8;;3700.0;0.75;0.5;0.06450712072192823
AU Mic b;1;8.46321;0.066;4.203;;0.1;;28.0;;3700.0;0.75;0.5;0.06450818783282891
AU Mic c;1;18.85969;0.1108;2.522;89.227;0.00338;7.3;;459.0;3678.0;0.74;0.51;0.11078505751535549
AU Mic c;1;18.859019;0.1101;3.24;89.0;0.0;;5.2;454.0;3700.0;0.75;0.5;0.11005357691102728
AU Mic c;1;18.858991;0.1101;;;;;3.68;;;;0.5;0.11005346797991351
AU Mic c;1;18.85882;;;;;;4.8;;3665.0;0.82;0.6;0.11694855387389615
